HLUTVERK,GLJ_ID,DNR,LAGNINGARAR,EIGANDI,dagsetning,X,Y,TENGINR,GREIN
Götuljós,21251,578,1980,Reykjavíkurborg - eignasjóður,1994/01/26,361378.079,402710.025,32553,2
Götuljós,21254,578,1980,Reykjavíkurborg - eignasjóður,1994/01/26,361423.089,402667.097,32553,2
Götuljós,21267,578,1981,Reykjavíkurborg - eignasjóður,1994/01/26,361436.045,402689.281,32553,2
Götuljós,21256,578,1981,Reykjavíkurborg - eignasjóður,1994/01/26,361378.463,402668.534,32873,3
Götuljós,21227,578,1980,Reykjavíkurborg - eignasjóður,1994/01/26,361557.033,402648.427,32553,5
Götuljós,21275,578,1981,Reykjavíkurborg - eignasjóður,1994/01/26,361580.124,402531.549,32553,3
Götuljós,21373,578,1991,Menntasvið Reykjavíkur,1994/01/26,361139.7637,402740.9461,32873,1
Götuljós,61061,140,2001,Reykjavíkurborg - eignasjóður,2001/11/26,359573.9466,407874.1499,6307,4
Götuljós,85577,605,2023,Reykjavíkurborg - eignasjóður,2023/02/16,363107.7,404211.2,246463,
Götuljós,21259,578,1981,Reykjavíkurborg - eignasjóður,1994/01/26,361411.994,402592.837,32873,3
Götuljós,5768,154,1989,Reykjavíkurborg - eignasjóður,1990/12/31,362541.193,405814.809,80032,3
Götuljós,20782,539,1970,Reykjavíkurborg - eignasjóður,1990/12/31,362986.514,405823.705,80149,1
Götuljós,85545,605,2023,Reykjavíkurborg - eignasjóður,2023/02/16,362871.9,404342.3,246469,
Götuljós,85539,605,2023,Reykjavíkurborg - eignasjóður,2023/02/16,363187.7,404171.6,246470,
Götuljós,85578,202,2023,Reykjavíkurborg - eignasjóður,2023/02/16,363575.6,403915.5,246471,
Götuljós,85566,202,2023,Reykjavíkurborg - eignasjóður,2023/02/16,363347.7,404106.6,246472,
Götuljós,85553,202,2023,Reykjavíkurborg - eignasjóður,2023/02/16,363491.7,403990.9,246473,
Götuljós,61042,789,2002,Reykjavíkurborg - eignasjóður,2002/12/11,359571.79,408638.338,80016,1
Götuljós,17951,500,2007,Reykjavíkurborg - eignasjóður,1994/01/26,360896.814,402837.53,16718,1
Götuljós,17786,498,2018,Reykjavíkurborg - eignasjóður,2002/11/15,360322.563,405010.535,80382,1
Götuljós,17801,498,1993,Reykjavíkurborg - eignasjóður,2002/11/15,360284.146,404976.406,80382,2
Götuljós,16215,471,1978,Reykjavíkurborg - eignasjóður,2002/11/15,359961.299,405262.773,30849,1
Götuljós,16212,471,1978,Reykjavíkurborg - eignasjóður,2002/11/15,359891.804,405272.824,30849,2
Götuljós,61077,140,2001,Reykjavíkurborg - eignasjóður,2001/11/22,359361.866,407824.666,17596,1
Götuljós,61086,140,2001,Reykjavíkurborg - eignasjóður,2001/11/28,359363.109,407740.572,18070,1
Götuljós,60646,140,2001,Reykjavíkurborg - eignasjóður,2001/11/26,359514.601,407984.896,18071,5
Götuljós,60659,140,2001,Reykjavíkurborg - eignasjóður,2001/11/26,359576.695,407988.304,18072,5
Götuljós,62988,801,2004,Gatnamálastofa-rekstur/viðhald,2004/04/26,365289.627,405397.993,18099,
Götuljós,63032,801,2004,Gatnamálastofa-rekstur/viðhald,2004/05/06,365164.081,405324.866,18104,
Götuljós,71096,841,2008,Reykjavíkurborg - eignasjóður,2008/11/24,366196.134,405194.306,35246,2
Götuljós,64593,841,2005,Reykjavíkurborg - eignasjóður,2005/04/05,366279.103,405202.14,35246,3
Götuljós,21439,578,1993,Reykjavíkurborg - eignasjóður,1991/12/31,361022.919,402464.024,32873,2
Götuljós,21440,578,1993,Reykjavíkurborg - eignasjóður,1991/12/31,361073.973,402496.236,32873,2
Götuljós,21423,578,1995,Reykjavíkurborg - eignasjóður,1996/02/20,361255.521,402577.365,32873,1
Götuljós,63444,801,2004,Gatnamálastofa-rekstur/viðhald,2004/10/11,365404.7432,405044.6484,28412,
Götuljós,60266,801,2002,Gatnamálastofa-rekstur/viðhald,2003/01/08,365246.395,405347.56,28436,
Götuljós,38404,801,2001,Gatnamálastofa-rekstur/viðhald,2002/11/14,365089.966,405487.762,28440,
Götuljós,38410,801,2001,Gatnamálastofa-rekstur/viðhald,2002/11/14,365251.504,405315.61,28441,
Götuljós,38403,801,2001,Gatnamálastofa-rekstur/viðhald,2002/11/14,365065.946,405546.229,28442,
Götuljós,30448,140,1997,Reykjavíkurborg - eignasjóður,2001/12/06,359371.752,407919.235,38878,4
Götuljós,31195,140,1997,Reykjavíkurborg - eignasjóður,2001/12/06,359388.281,407867.441,38879,4
Götuljós,61072,140,2001,Reykjavíkurborg - eignasjóður,2001/11/22,359414.473,407798.389,38882,1
Götuljós,21269,578,1985,Reykjavíkurborg - eignasjóður,1994/01/26,361458.932,402636.721,32553,2
Götuljós,21221,578,1985,Reykjavíkurborg - eignasjóður,1994/01/26,361465.023,402542.545,32873,3
Götuljós,21408,578,1995,Reykjavíkurborg - eignasjóður,1994/01/26,361362.7988,402573.726,32873,3
Götuljós,21360,578,1995,Reykjavíkurborg - eignasjóður,1994/01/26,361345.269,402601.938,32873,3
Götuljós,21362,578,1992,Reykjavíkurborg - eignasjóður,1994/01/26,361309.0606,402665.898,32873,3
Götuljós,21398,578,1992,Reykjavíkurborg - eignasjóður,1994/01/26,361291.5658,402691.4086,32873,3
Götuljós,80947,578,2019,Reykjavíkurborg,2020/01/08,361193.231,402634.682,32873,1
Götuljós,80949,578,2019,Reykjavíkurborg,2020/01/08,361191.472,402656.802,32873,1
Götuljós,80937,578,2020,Reykjavíkurborg - eignasjóður,2020/01/09,361223.5709,402670.8576,32873,1
Götuljós,80938,578,2019,Reykjavíkurborg,2020/01/09,361192.8901,402686.8153,32873,1
Götuljós,81760,578,2020,Reykjavíkurborg - eignasjóður,2021/01/08,361338.361,402802.674,32873,3
Götuljós,81761,578,2020,Reykjavíkurborg - eignasjóður,2021/01/08,361350.934,402803.581,32873,3
Götuljós,82743,578,2021,Reykjavíkurborg,2021/12/13,361593,402613.4,32553,3
Götuljós,82744,578,2021,Reykjavíkurborg,2021/12/13,361581.8,402608.1,32553,3
Götuljós,82747,578,2021,Reykjavíkurborg,2021/12/13,361581.5,402595.7,32553,3
Götuljósalykkja,83473,897,2003,Reykjavíkurborg - eignasjóður,2003/10/17,364390.682,404630.067,80487,1
