Lóð,Heimtaugarskápur,Heimtaugarskápur XID,Auðkenni ljósastaurs,Ljósastaur XID,Gata,Staðsetning,Tegund viðfangs,Undirtegund,X (lengdargráða),Y (Breidd),GPS-hæð,X,Y,Dags. uppsett,Eigandi 2,Eigandi Umsjón-starfsmaður,Kennitala eiganda,Framleiðandi,Birgir,Efni staurs,Litur staurs,Hæð staurs [m],Hefur topp/arm,Tegund topps/arms,Framleiðandi topps/arms,Söluaðili topps/arms,Tengill,Ljósleiðarapípa,Dags. burðarþolsprófunar,Framkvæmdaraðili burðarþolsprófunar,Tegund undirstöðu,Staða,Ástandseinkunn
,,,,15,HAGATORG,,,,,,,356248.1,407521,,,,,,,J,,5,,,,,,,,,,,
,,,,16,VÍKURVEGUR,,,,,,,364971.9,407285.9,,,,,,,VEFMYNDAVÉL,,,,,,,,,,,,,
,,,,19,HAGATORG,,,,,,,356202.7,407501,,,,,,,J,,5,,,,,,,,,,,
,,,,21,BRYNJÓLFSGATA,,,,,,,356272.6,407541.5,,,,,,,J,,5,,,,,,,,,,,
,,,,22,BRYNJÓLFSGATA,,,,,,,356248.6,407553.9,,,,,,,J,,5,,,,,,,,,,,
,,,,23,HAGATORG,,,,,,,356229.5,407574.2,,,,,,,J,,5,,,,,,,,,,,
,,,,25,HAGATORG,,,,,,,356246.9,407510.3,,,,,,,J,,5,,,,,,,,,,,
,,,,26,HAGATORG,,,,,,,356235.1,407498.8,,,,,,,J,,5,,,,,,,,,,,
,,,,27,HAGATORG,,,,,,,356207.3,407493,,,,,,,J,,5,,,,,,,,,,,
,,,,28,HAGATORG,,,,,,,356190.7,407501.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29,HAGATORG,,,,,,,356185,407517.4,,,,,,,J,,5,,,,,,,,,,,
,,,,30,HAGATORG,,,,,,,356188.1,407526.8,,,,,,,J,,5,,,,,,,,,,,
,,,,31,KIRKJUSTRÆTI,,,,,,,356815.4,408261.8,,,,,,,J,,4,,,,,,,,,,,
,,,,32,KIRKJUSTRÆTI,,,,,,,356834.4,408262.3,,,,,,,J,,4,,,,,,,,,,,
,,,,33,KIRKJUSTRÆTI,,,,,,,356872.9,408247,,,,,,,J,,4,,,,,,,,,,,
,,,,34,KIRKJUSTRÆTI,,,,,,,356896.2,408237.8,,,,,,,J,,4,,,,,,,,,,,
,,,,64,SUÐURGATA,,,,,,,356545.8,407837.8,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,67,KIRKJUTORG,,,,,,,356962.8,408144,,,,,,,J,,5,,,,,,,,,,,
,,,,69,TEMPLARASUND,,,,,,,356932.2,408148.5,,,,,,,J,,10,,,,,,,,,,,
,,,,70,TEMPLARASUND,,,,,,,356914.9,408143.8,,,,,,,J,,10,,,,,,,,,,,
,,,,80,VONARSTRÆTI,,,,,,,356879.5,408157.2,,,,,,,J,,4,,,,,,,,,,,
,,,,81,VONARSTRÆTI,,,,,,,356898.2,408146.7,,,,,,,J,,4,,,,,,,,,,,
,,,,82,VONARSTRÆTI,,,,,,,356902.9,408159.5,,,,,,,J,,4,,,,,,,,,,,
,,,,99,VONARSTRÆTI,,,,,,,356836.4,408249.8,,,,,,,J,,4,,,,,,,,,,,
,,,,100,VONARSTRÆTI,,,,,,,356828.2,408233.7,,,,,,,J,,4,,,,,,,,,,,
,,,,101,VONARSTRÆTI,,,,,,,356819.2,408218.1,,,,,,,J,,4,,,,,,,,,,,
,,,,102,VONARSTRÆTI,,,,,,,356811.2,408202.5,,,,,,,J,,4,,,,,,,,,,,
,,,,103,VONARSTRÆTI,,,,,,,356829.7,408185.9,,,,,,,J,,4,,,,,,,,,,,
