WKT,FDNR,Nafn,Lon,Lat,Allir
"POINT (-21.952843 64.141045)",2,Hagatorg 1,-21.952843,64.141045,x
"POINT (-21.94283261 64.14711377)",4,Suðurgata 1,-21.94283261,64.14711377,x
"POINT (-21.93816 64.145811)",5,Bókhlöðustígur 2,-21.93816,64.145811,x
"POINT (-21.91443 64.142241)",6,Grettisgata 89,-21.91443,64.142241,x
"POINT (-21.93146188 64.14587724)",7,Bergstaðarstræti 3,-21.93146188,64.14587724,x
"POINT (-21.92275071 64.1440866)",9,Vitastígur 10,-21.92275071,64.1440866,x
"POINT (-21.88433609 64.12835568)",11,Stóragerði 16,-21.88433609,64.12835568,x
"POINT (-21.885663 64.148241)",12,Laugarnesvegur 72,-21.885663,64.148241,x
"POINT (-21.93080933 64.14245478)",13,Freyjugata 21,-21.93080933,64.14245478,x
"POINT (-21.93580786 64.1431304)",14,Grundarstígur 21,-21.93580786,64.1431304,x
"POINT (-21.95499526 64.14868901)",15,Bræðraborgarstígur 36,-21.95499526,64.14868901,x
"POINT (-21.70787764 64.18677216)",20,Fitjar,-21.70787764,64.18677216,x
"POINT (-21.81611696 64.10112699)",21,Iðufell 12,-21.81611696,64.10112699,x
"POINT (-21.83535251 64.11951257)",23,Rafstöðvarvegur-Elliðaárbrú,-21.83535251,64.11951257,x
"POINT (-21.93079437 64.1224889)",24,Nauthólsvík,-21.93079437,64.1224889,x
"POINT (-21.92898212 64.13995766)",26,Barónsstígur 78,-21.92898212,64.13995766,x
"POINT (-21.95748011 64.13869703)",27,Dunhagi 17,-21.95748011,64.13869703,x
"POINT (-21.85886241 64.13393503)",28,Sólheimar 23a,-21.85886241,64.13393503,x
"POINT (-21.9034199 64.14537594)",29,Borgartún 20,-21.9034199,64.14537594,x
"POINT (-21.91862515 64.14486188)",30,Barónsstígur 4,-21.91862515,64.14486188,x
"POINT (-21.80821978 64.12564246)",32,Höfðabakki i9,-21.80821978,64.12564246,x
"POINT (-21.94409041 64.15079606)",33,Tryggvagata,-21.94409041,64.15079606,x
"POINT (-21.94921704 64.1487886)",37,Öldugata 23,-21.94921704,64.1487886,x
"POINT (-21.97103379 64.14516913)",39,Kaplaskjólsvegur 64,-21.97103379,64.14516913,x
"POINT (-21.94563462 64.14613053)",40,Garðastræti 43,-21.94563462,64.14613053,x
"POINT (-21.95073355 64.14522454)",41,Brávallagata 14,-21.95073355,64.14522454,x
"POINT (-21.92764454 64.14496989)",42,Grettisgata 11,-21.92764454,64.14496989,x
"POINT (-21.923844 64.145452)",43,Lindargata 51,-21.923844,64.145452,x
"POINT (-21.93683786 64.14045133)",45,Fjólugata 21,-21.93683786,64.14045133,x
"POINT (-21.92037478 64.13801757)",49,Gunnarsbraut 38,-21.92037478,64.13801757,x
"POINT (-21.9454829 64.14971171)",50,Ránargata 10,-21.9454829,64.14971171,x
"POINT (-21.80373972 64.12238902)",51,Fossháls 21,-21.80373972,64.12238902,x
"POINT (-21.86214771 64.14006714)",52,Sunnuvegur 25,-21.86214771,64.14006714,x
"POINT (-21.81590357 64.12607652)",55,Tangarhöfði 6,-21.81590357,64.12607652,x
"POINT (-21.96205636 64.14998447)",57,Grandavegur 38,-21.96205636,64.14998447,x
"POINT (-21.95003983 64.15185522)",59,Mýrargata 25,-21.95003983,64.15185522,x
"POINT (-21.79881316 64.12245502)",61,Fossháls 3,-21.79881316,64.12245502,x
"POINT (-21.95340323 64.15071746)",62,Brekkustígur 2,-21.95340323,64.15071746,x
"POINT (-21.92629802 64.14289738)",63,Frakkastígur 23,-21.92629802,64.14289738,x
"POINT (-21.9315388 64.12893419)",66,Reykjavíkurflugvöllur,-21.9315388,64.12893419,x
"POINT (-21.88921523 64.13069952)",69,Hvassaleiti 24,-21.88921523,64.13069952,x
"POINT (-21.91088896 64.14274084)",73,Stakkholt 3,-21.91088896,64.14274084,x
"POINT (-21.94307349 64.146016)",74,Tjarnargata 11,-21.94307349,64.146016,x
"POINT (-21.93814317 64.14685369)",76,Lækjargata 8,-21.93814317,64.14685369,x
"POINT (-21.88526559 64.13898501)",82,Ármúli 5,-21.88526559,64.13898501,x
"POINT (-21.86151706 64.24579242)",84,Arnarholt,-21.86151706,64.24579242,x
"POINT (-21.91081548 64.13939453)",90,Meðalholt 12,-21.91081548,64.13939453,x
