ID,Lóð,Auðkenni heimtaugarskáps,Heimtaugarskápur XID,Staðsetning,Tegund viðfangs,Undirtegund,X (lengdargráða),Y (Breidd),GPS-hæð,X,Y,Eigandi Umsjón-starfsmaður,Kennitala eiganda,Þjónustuaðili,Dreifiveita,Söluaðili orku,Gjaldskrá orkusala,Hefur mæli,Dagsetning uppsetningar mælis,Mælanúmer,Veitunúmer,Staða,Ástandseinkunn
1606537,"Árbær, gatnakerfi",0023_01,23,,Heimtaugarskápur,,-21835353,64119513,,361896.035,404940.141,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,True,27.07.2023,6.086.839.277,,Virkur,Ekki skráð
1606557,"Árbær, gatnakerfi",0051_01,51,,Heimtaugarskápur,,-2180374,64122389,,363449.0288,405191.8239,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,True,27.07.2023,6.086.839.276,,Virkur,Ekki skráð
1606562,"Árbær, gatnakerfi",0061_01,61,Fossháls 3,Heimtaugarskápur,,-21798813,64122455,,363689.1365,405188.5426,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,False,,,,Virkur,Ekki skráð
1606577,"Árbær, gatnakerfi",0095_01,95,Elliðavatn,Heimtaugarskápur,,-21760594,64088319,,365383.2,401304.701,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,False,,,,Virkur,Ekki skráð
1606587,"Árbær, gatnakerfi",0115_01,115,"Traðir, Víðidal",Heimtaugarskápur,,-217901,6410004,,364002.9842,402673.3775,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,False,,,,Virkur,Ekki skráð
1606624,"Árbær, gatnakerfi",0202_01,202,,Heimtaugarskápur,,-21791497,64110948,,363988.6118,403891.1474,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,True,21.06.2022,,10732029,Virkur,Ekki skráð
1606670,"Árbær, gatnakerfi",0377_01,377,,Heimtaugarskápur,,-2179431,64102968,,363812.303,403008.515,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,True,22.04.2024,6.089.319.199,,Virkur,Ekki skráð
1606695,"Árbær, gatnakerfi",0435_01,435,Rofabær 5-7,Heimtaugarskápur,,-21805895,64118027,,363322.5737,404710.6159,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,False,,,,Virkur,Ekki skráð
1606696,"Árbær, gatnakerfi",0436_01,436,Rofabær 17,Heimtaugarskápur,,-2180206,64117244,,363505.3728,404615.2254,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,False,,,,Virkur,Ekki skráð
1606697,"Árbær, gatnakerfi",0437_01,437,,Heimtaugarskápur,,-21797048,6411653,,363745.823,404524.824,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,True,09.08.2022,,10732280,Virkur,Ekki skráð
1606698,"Árbær, gatnakerfi",0438_01,438,Rofabær 39,Heimtaugarskápur,,-21789632,64115479,,364101.7039,404391.8304,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,False,,,,Virkur,Ekki skráð
1606699,"Árbær, gatnakerfi",0439_01,439,,Heimtaugarskápur,,-21810721,64116632,,363080.7,404565.7,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,True,09.09.2022,,10732490,Virkur,Ekki skráð
1606723,"Árbær, gatnakerfi",0489_01,489,Tunguháls 2,Heimtaugarskápur,,-21787172,6411793,,364233.5041,404659.5564,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,False,,,,Virkur,Ekki skráð
1606759,"Árbær, gatnakerfi",0588_01,588,járnháls 4,Heimtaugarskápur,,-21794048,6412271,,363922.3,405206.7,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,False,,,,Virkur,Ekki skráð
1606764,"Árbær, gatnakerfi",0608_01,608,,Heimtaugarskápur,,-21785815,64109807,,364259.638,403751.949,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,True,17.01.2023,,,Virkur,Ekki skráð
1606767,"Árbær, gatnakerfi",0617_01,617,Selásbraut 103,Heimtaugarskápur,,-2178619,6410554,,364220.4422,403277.4732,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,False,,,,Virkur,Ekki skráð
1606769,"Árbær, gatnakerfi",0622_01,622,Rafstöðvarvegur-Elliðaárbrú,Heimtaugarskápur,,-21839711,64123424,,361703.473,405385.252,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,False,,,,Virkur,Ekki skráð
1606772,"Árbær, gatnakerfi",0629_01,629,,Heimtaugarskápur,,-21814288,64121914,,362933.2891,405161.7034,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,True,16.04.2024,6.089.318.899,,Virkur,Ekki skráð
1606781,"Árbær, gatnakerfi",0648_01,648,Réttarháls 1,Heimtaugarskápur,,-21799413,6412016,,363648.6376,404934.2815,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,False,,,,Virkur,Ekki skráð
1606833,"Árbær, gatnakerfi",0891_01,891,,Heimtaugarskápur,,-21777096,64098215,,364627.487,402442.138,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,True,30.06.2022,,10732117,Virkur,Ekki skráð
1606835,"Árbær, gatnakerfi",0897_01,897,,Heimtaugarskápur,,-21783393,64117252,,364414.1551,404575.9533,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,True,14.06.2022,,10732012,Virkur,Ekki skráð
1606837,"Árbær, gatnakerfi",1101_01,1101,,Heimtaugarskápur,,-21768511,64102312,,365065.68,402880.124,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,True,29.06.2022,,10732116,Virkur,Ekki skráð
1607885,"Árbær, gatnakerfi",1102,1102,Ónóg skráning,Heimtaugarskápur,,-21775883,64102352,,364706.795,402900.279,,,,,,,False,,,,Virkur,Ekki skráð
1606838,"Árbær, gatnakerfi",1110_01,1110,,Heimtaugarskápur,,-21762588,64101475,,365350.1184,402774.2638,Reykjavíkurborg - eignasjóður,5704800149,Ljóstvistar,Veitur,N1,,True,15.09.2022,6.085.259.779,10732545,Virkur,Ekki skráð
1607893,"Árbær, gatnakerfi",1135,1135,Ónóg skráning,Heimtaugarskápur,,-21778577,64095654,,364542.776,402160.102,,,,,,,False,,,,Virkur,Ekki skráð
1607899,"Árbær, gatnakerfi",1177,1177,Ónóg skráning,Heimtaugarskápur,,-21785991,6411933,,364297.865,404812.946,,,,,,,False,,,,Virkur,Ekki skráð
1607906,"Árbær, gatnakerfi",1200,1200,Ónóg skráning,Heimtaugarskápur,,-21740673,64083128,,366328.92,400684.302,,,,,,,False,,,,Virkur,Ekki skráð
