hs,heimilisfang,titill,verkefni,comment,hs_skipti,lon,lat,lukor
2,Hagatorg 1,HS_2 - Hagatorg 1,,,2022,-21.962459300,64.147561800,https://lukor.or.is/lukor/gotuljosakort.html?dnr=2
4,Suðurgata 1,HS_4 - Suðurgata 1,,,,-21.942832610,64.147113770,https://lukor.or.is/lukor/gotuljosakort.html?dnr=4
5,Bókhlöðustígur 2,HS_5 - Bókhlöðustígur 2,Miðbær,,2023,-21.938160000,64.145811000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=5
6,Grettisgata 89,HS_6 - Grettisgata 89,,,,-21.914430000,64.142241000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=6
7,Bergstaðarstræti 3,HS_7 - Bergstaðarstræti 3,Miðbær,,2023,-21.931461880,64.145877240,https://lukor.or.is/lukor/gotuljosakort.html?dnr=7
9,Vitastígur 10,HS_9 - Vitastígur 10,,,2022,-21.922750710,64.144086600,https://lukor.or.is/lukor/gotuljosakort.html?dnr=9
11,Stóragerði 16,HS_11 - Stóragerði 16,,,2022,-21.884336090,64.128355680,https://lukor.or.is/lukor/gotuljosakort.html?dnr=11
12,Laugarnesvegur 72,HS_12 - Laugarnesvegur 72,,,2023,-21.885663000,64.148241000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=12
13,Freyjugata 21,HS_13 - Freyjugata 21,,,2023,-21.930809330,64.142454780,https://lukor.or.is/lukor/gotuljosakort.html?dnr=13
14,Grundarstígur 21,HS_14 - Grundarstígur 21,,,2023,-21.935807860,64.143130400,https://lukor.or.is/lukor/gotuljosakort.html?dnr=14
15,Bræðraborgarstígur 36,HS_15 - Bræðraborgarstígur 36,,,,-21.954995260,64.148689010,https://lukor.or.is/lukor/gotuljosakort.html?dnr=15
20,Fitjar,HS_20 - Fitjar,,,2024,-21.707877640,64.186772160,https://lukor.or.is/lukor/gotuljosakort.html?dnr=20
21,Iðufell 12,HS_21 - Iðufell 12,,,2022,-21.816116960,64.101126990,https://lukor.or.is/lukor/gotuljosakort.html?dnr=21
23,Rafstöðvarvegur-Elliðaárbrú,HS_23 - Rafstöðvarvegur-Elliðaárbrú,,,2023,-21.835352510,64.119512570,https://lukor.or.is/lukor/gotuljosakort.html?dnr=23
24,Nauthólsvík,HS_24 - Nauthólsvík,,,2023,-21.930794370,64.122488900,https://lukor.or.is/lukor/gotuljosakort.html?dnr=24
26,Barónsstígur 78,HS_26 - Barónsstígur 78,,,2022,-21.928982120,64.139957660,https://lukor.or.is/lukor/gotuljosakort.html?dnr=26
27,Dunhagi 17,HS_27 - Dunhagi 17,Vesturbær,,2023,-21.957480110,64.138697030,https://lukor.or.is/lukor/gotuljosakort.html?dnr=27
28,Sólheimar 23a,HS_28 - Sólheimar 23a,,,2022,-21.858862410,64.133935030,https://lukor.or.is/lukor/gotuljosakort.html?dnr=28
29,Borgartún 20,HS_29 - Borgartún 20,,,2023,-21.903419900,64.145375940,https://lukor.or.is/lukor/gotuljosakort.html?dnr=29
30,Barónsstígur 4,HS_30 - Barónsstígur 4,,,2022,-21.918625150,64.144861880,https://lukor.or.is/lukor/gotuljosakort.html?dnr=30
32,Höfðabakki i9,HS_32 - Höfðabakki i9,,,,-21.808219780,64.125642460,https://lukor.or.is/lukor/gotuljosakort.html?dnr=32
33,Tryggvagata,HS_33 - Tryggvagata,,,2023,-21.944090410,64.150796060,https://lukor.or.is/lukor/gotuljosakort.html?dnr=33
37,Öldugata 23,HS_37 - Öldugata 23,,,2022,-21.949217040,64.148788600,https://lukor.or.is/lukor/gotuljosakort.html?dnr=37
39,Kaplaskjólsvegur 64,HS_39 - Kaplaskjólsvegur 64,Vesturbær,,2022,-21.971033790,64.145169130,https://lukor.or.is/lukor/gotuljosakort.html?dnr=39
40,Garðastræti 43,HS_40 - Garðastræti 43,,,2022,-21.945634620,64.146130530,https://lukor.or.is/lukor/gotuljosakort.html?dnr=40
41,Brávallagata 14,HS_41 - Brávallagata 14,,,2023,-21.950733550,64.145224540,https://lukor.or.is/lukor/gotuljosakort.html?dnr=41
42,Grettisgata 11,HS_42 - Grettisgata 11,,,2022,-21.927644540,64.144969890,https://lukor.or.is/lukor/gotuljosakort.html?dnr=42
43,Lindargata 51,HS_43 - Lindargata 51,,,2023,-21.923844000,64.145452000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=43
45,Fjólugata 21,HS_45 - Fjólugata 21,,,,-21.936837860,64.140451330,https://lukor.or.is/lukor/gotuljosakort.html?dnr=45
49,Gunnarsbraut 38,HS_49 - Gunnarsbraut 38,,,,-21.920374780,64.138017570,https://lukor.or.is/lukor/gotuljosakort.html?dnr=49
50,Ránargata 10,HS_50 - Ránargata 10,,,2022,-21.945482900,64.149711710,https://lukor.or.is/lukor/gotuljosakort.html?dnr=50
51,Fossháls 21,HS_51 - Fossháls 21,,,2023,-21.803739720,64.122389020,https://lukor.or.is/lukor/gotuljosakort.html?dnr=51
52,Sunnuvegur 25,HS_52 - Sunnuvegur 25,,,2023,-21.862147710,64.140067140,https://lukor.or.is/lukor/gotuljosakort.html?dnr=52
55,Tangarhöfði 6,HS_55 - Tangarhöfði 6,,,,-21.815903570,64.126076520,https://lukor.or.is/lukor/gotuljosakort.html?dnr=55
57,Grandavegur 38,HS_57 - Grandavegur 38,Vesturbær,,2023,-21.962056360,64.149984470,https://lukor.or.is/lukor/gotuljosakort.html?dnr=57
59,Mýrargata 25,HS_59 - Mýrargata 25,,,2023,-21.950039830,64.151855220,https://lukor.or.is/lukor/gotuljosakort.html?dnr=59
61,Fossháls 3,HS_61 - Fossháls 3,,,,-21.798813160,64.122455020,https://lukor.or.is/lukor/gotuljosakort.html?dnr=61
62,Brekkustígur 2,HS_62 - Brekkustígur 2,,,2023,-21.953403230,64.150717460,https://lukor.or.is/lukor/gotuljosakort.html?dnr=62
63,Frakkastígur 23,HS_63 - Frakkastígur 23,,,2023,-21.926298020,64.142897380,https://lukor.or.is/lukor/gotuljosakort.html?dnr=63
66,Reykjavíkurflugvöllur,HS_66 - Reykjavíkurflugvöllur,,,2023,-21.931538800,64.128934190,https://lukor.or.is/lukor/gotuljosakort.html?dnr=66
69,Hvassaleiti 24,HS_69 - Hvassaleiti 24,,,,-21.889215230,64.130699520,https://lukor.or.is/lukor/gotuljosakort.html?dnr=69
73,Stakkholt 3,HS_73 - Stakkholt 3,,,2023,-21.910888960,64.142740840,https://lukor.or.is/lukor/gotuljosakort.html?dnr=73
74,Tjarnargata 11,HS_74 - Tjarnargata 11,,,,-21.943073490,64.146016000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=74
76,Lækjargata 8,HS_76 - Lækjargata 8,,,,-21.938143170,64.146853690,https://lukor.or.is/lukor/gotuljosakort.html?dnr=76
82,Ármúli 5,HS_82 - Ármúli 5,,,2023,-21.885265590,64.138985010,https://lukor.or.is/lukor/gotuljosakort.html?dnr=82
84,Arnarholt,HS_84 - Arnarholt,,,2024,-21.861517060,64.245792420,https://lukor.or.is/lukor/gotuljosakort.html?dnr=84
90,Meðalholt 12,HS_90 - Meðalholt 12,,,2022,-21.910815480,64.139394530,https://lukor.or.is/lukor/gotuljosakort.html?dnr=90
91,Eskihlíð 20,HS_91 - Eskihlíð 20,,,2023,-21.915126810,64.132232530,https://lukor.or.is/lukor/gotuljosakort.html?dnr=91
93,Sævarhöfði 6-12,HS_93 - Sævarhöfði 6-12,,,2024,-21.831199520,64.127237780,https://lukor.or.is/lukor/gotuljosakort.html?dnr=93
95,Elliðavatn,HS_95 - Elliðavatn,,,,-21.760594070,64.088318660,https://lukor.or.is/lukor/gotuljosakort.html?dnr=95
100,Öskjuhlíð,HS_100 - Öskjuhlíð,,,,-21.919947450,64.131199390,https://lukor.or.is/lukor/gotuljosakort.html?dnr=100
103,Barónsstígur 45,HS_103 - Barónsstígur 45,,,2023,-21.920799930,64.141431440,https://lukor.or.is/lukor/gotuljosakort.html?dnr=103
106,Félagsstofnun Stúdenta,HS_106 - Félagsstofnun Stúdenta,,,2023,-21.947018870,64.141641910,https://lukor.or.is/lukor/gotuljosakort.html?dnr=106
108,Grenimelur 10,HS_108 - Grenimelur 10,Vesturbær,,2022,-21.955119020,64.143760840,https://lukor.or.is/lukor/gotuljosakort.html?dnr=108
109,Rekagrandi 12,HS_109 - Rekagrandi 12,Vesturbær,,2022,-21.974467180,64.148855450,https://lukor.or.is/lukor/gotuljosakort.html?dnr=109
110,Ásvallagata 40,HS_110 - Ásvallagata 40,,,2022,-21.953291790,64.147166390,https://lukor.or.is/lukor/gotuljosakort.html?dnr=110
111,Grafarholt H.R,HS_111 - Grafarholt H.R,,,,-21.767177920,64.129323490,https://lukor.or.is/lukor/gotuljosakort.html?dnr=111
112,Fjölnisvegur 2,HS_112 - Fjölnisvegur 2,,,,-21.933504000,64.141093000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=112
113,Mánagata 25,HS_113 - Mánagata 25,,,2022,-21.916152170,64.140201370,https://lukor.or.is/lukor/gotuljosakort.html?dnr=113
115,Traðir. Víðidal,HS_115 - Traðir. Víðidal,,,,-21.790099650,64.100040460,https://lukor.or.is/lukor/gotuljosakort.html?dnr=115
117,Tjarnarból 17,HS_117 - Tjarnarból 17,,,,-21.984223000,64.147597000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=117
119,Engihlið 6,HS_119 - Engihlið 6,,,,-21.918469380,64.135402940,https://lukor.or.is/lukor/gotuljosakort.html?dnr=119
122,Garðastræti 16,HS_122 - Garðastræti 16,,,2022,-21.944498080,64.148494660,https://lukor.or.is/lukor/gotuljosakort.html?dnr=122
123,Mávahlíð 23,HS_123 - Mávahlíð 23,,,2023,-21.911941900,64.134008950,https://lukor.or.is/lukor/gotuljosakort.html?dnr=123
126,Hatún 6B,HS_126 - Hatún 6B,,,,-21.900966000,64.142618000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=126
127,Bálstofa,HS_127 - Bálstofa,,,2023,-21.909352970,64.125390240,https://lukor.or.is/lukor/gotuljosakort.html?dnr=127
129,Grófarbryggja,HS_129 - Grófarbryggja,,,,-21.941237390,64.150169390,https://lukor.or.is/lukor/gotuljosakort.html?dnr=129
130,Grandagarður,HS_130 - Grandagarður,,,,-21.949567910,64.153401000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=130
135_01,Völvufell 13,HS_135_01 - Völvufell 13,,,2023,-21.823649330,64.100663320,https://lukor.or.is/lukor/gotuljosakort.html?dnr=135_01
135_02,Norðurfell,HS_135_02 - Norðurfell,,,,-21.823678000,64.101869000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=135_02
136,Miðleiti 2,HS_136 - Miðleiti 2,,,2023,-21.894613290,64.126691340,https://lukor.or.is/lukor/gotuljosakort.html?dnr=136
137,Karfavogur 43,HS_137 - Karfavogur 43,,,,-21.856825270,64.129227570,https://lukor.or.is/lukor/gotuljosakort.html?dnr=137
138,Sléttuvegur 1A,HS_138 - Sléttuvegur 1A,,,2023,-21.894948300,64.123066300,https://lukor.or.is/lukor/gotuljosakort.html?dnr=138
139,Höfðabakki 7,HS_139 - Höfðabakki 7,,,2023,-21.809992830,64.127318010,https://lukor.or.is/lukor/gotuljosakort.html?dnr=139
140,Laugateigur 24,HS_140 - Laugateigur 24,,,2023,-21.887875940,64.142827090,https://lukor.or.is/lukor/gotuljosakort.html?dnr=140
146,Miklabraut 84,HS_146 - Miklabraut 84,,,,-21.907724170,64.134144370,https://lukor.or.is/lukor/gotuljosakort.html?dnr=146
148,Sigtún Skautasvel,HS_148 - Sigtún Skautasvel,,,2022,-21.872289060,64.140812300,https://lukor.or.is/lukor/gotuljosakort.html?dnr=148
154,Hyrjarhöfði,HS_154 - Hyrjarhöfði,,,2022,-21.822811920,64.127799440,https://lukor.or.is/lukor/gotuljosakort.html?dnr=154
155,Álfaborgir 2,HS_155 - Álfaborgir 2,,,,-21.790277420,64.151233710,https://lukor.or.is/lukor/gotuljosakort.html?dnr=155
157,Mururimi 1a,HS_157 - Mururimi 1a,,,2022,-21.790285510,64.144920920,https://lukor.or.is/lukor/gotuljosakort.html?dnr=157
160,Fífurimi 1a,HS_160 - Fífurimi 1a,,,2023,-21.792629340,64.141634040,https://lukor.or.is/lukor/gotuljosakort.html?dnr=160
162,Skógarsel 12,HS_162 - Skógarsel 12,,,,-21.848257970,64.102990700,https://lukor.or.is/lukor/gotuljosakort.html?dnr=162
167,Hella,HS_167 - Hella,,,2024,-21.711565320,64.092194960,https://lukor.or.is/lukor/gotuljosakort.html?dnr=167
170,Granaskjól 29,HS_170 - Granaskjól 29,Vesturbær,,2022,-21.975362820,64.146137410,https://lukor.or.is/lukor/gotuljosakort.html?dnr=170
173,Arngrímsgata 1,HS_173 - Arngrímsgata 1,Vesturbær,,2023,-21.952390460,64.142385830,https://lukor.or.is/lukor/gotuljosakort.html?dnr=173
175,Kvisthagi _21,HS_175 - Kvisthagi _21,Vesturbær,,2022,-21.964121070,64.142528190,https://lukor.or.is/lukor/gotuljosakort.html?dnr=175
177,Seljavegur 32,HS_177 - Seljavegur 32,,,2022,-21.956861690,64.151148130,https://lukor.or.is/lukor/gotuljosakort.html?dnr=177
182,Boðagrandi 1,HS_182 - Boðagrandi 1,Vesturbær,,2023,-21.967673740,64.149238320,https://lukor.or.is/lukor/gotuljosakort.html?dnr=182
184,Hólmgarður 22,HS_184 - Hólmgarður 22,,,2022,-21.876704460,64.123286460,https://lukor.or.is/lukor/gotuljosakort.html?dnr=184
185,Víðines,HS_185 - Víðines,,,2024,-21.747307650,64.177310050,https://lukor.or.is/lukor/gotuljosakort.html?dnr=185
188,Vatnagarðar 12,HS_188 - Vatnagarðar 12,,,,-21.858409290,64.146824270,https://lukor.or.is/lukor/gotuljosakort.html?dnr=188
189,Vatnagarðar 24,HS_189 - Vatnagarðar 24,,,,-21.854529010,64.145072760,https://lukor.or.is/lukor/gotuljosakort.html?dnr=189
190,Gufunes - sorpa,HS_190 - Gufunes - sorpa,,,2024,-21.819752210,64.151545910,https://lukor.or.is/lukor/gotuljosakort.html?dnr=190
200,Esjuberg,HS_200 - Esjuberg,,,2024,-21.779878010,64.214807950,https://lukor.or.is/lukor/gotuljosakort.html?dnr=200
202,Eyktarás 26,HS_202 - Eyktarás 26,,,2022,-21.791496630,64.110947510,https://lukor.or.is/lukor/gotuljosakort.html?dnr=202
207,Vesturberg 142,HS_207 - Vesturberg 142,,,2023,-21.820222860,64.107400500,https://lukor.or.is/lukor/gotuljosakort.html?dnr=207
210,Baugatangi 1,HS_210 - Baugatangi 1,Vesturbær,,2022,-21.954478240,64.129208820,https://lukor.or.is/lukor/gotuljosakort.html?dnr=210
214,Vesturberg 74,HS_214 - Vesturberg 74,,,2022,-21.822272110,64.105051790,https://lukor.or.is/lukor/gotuljosakort.html?dnr=214
216,Stardalur,HS_216 - Stardalur,,,2024,-21.483174880,64.212377070,https://lukor.or.is/lukor/gotuljosakort.html?dnr=216
224,Dvergaborgir 1a,HS_224 - Dvergaborgir 1a,,,2022,-21.796962750,64.152730610,https://lukor.or.is/lukor/gotuljosakort.html?dnr=224
237,Grandabakki,HS_237 - Grandabakki,,,Faxaflóahafnir,-21.944937370,64.154238830,https://lukor.or.is/lukor/gotuljosakort.html?dnr=237
241,Hlíðargerði 13,HS_241 - Hlíðargerði 13,,,,-21.867509170,64.126646880,https://lukor.or.is/lukor/gotuljosakort.html?dnr=241
246,Skipholt 50,HS_246 - Skipholt 50,,,2023,-21.902700000,64.139642000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=246
246,Skipholt_50,HS_246 - Skipholt_50,,,2023,-21.901462000,64.140205000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=246
250,Korngarðar 10,HS_250 - Korngarðar 10,,,Faxaflóahafnir,-21.859654120,64.151240350,https://lukor.or.is/lukor/gotuljosakort.html?dnr=250
